,City_ID,City,Cloudiness,Country,Date,Date Converted,Humidity,Lat,Lng,Max Temp,Wind Speed
56,3361934,Saldanha,5,ZA,1666723252,2022-10-25 18:40:52,89,-33.0117,17.9442,60.85,16.51
57,1015776,Bredasdorp,100,ZA,1666723016,2022-10-25 18:36:56,72,-34.5322,20.0403,62.01,9.69
58,6050066,La Ronge,100,CA,1666723063,2022-10-25 18:37:43,60,55.1001,-105.2842,34.05,5.75
59,1490256,Talnakh,93,RU,1666723254,2022-10-25 18:40:54,97,69.4865,88.3972,8.24,2.66
60,5557293,Sitka,20,US,1666723232,2022-10-25 18:40:32,87,57.0531,-135.33,40.89,4.61
61,3421319,Nuuk,75,GL,1666723226,2022-10-25 18:40:26,93,64.1835,-51.7216,34.41,4.61
62,5110365,Broome,100,US,1666723021,2022-10-25 18:37:01,76,42.2506,-75.833,71.15,8.05
63,2075265,Busselton,19,AU,1666723018,2022-10-25 18:36:58,86,-33.65,115.3333,51.76,1.81
64,1263504,Mārkāpur,3,IN,1666723255,2022-10-25 18:40:55,62,15.7333,79.2833,71.55,3.02
65,2206939,Bluff,100,NZ,1666723255,2022-10-25 18:40:55,79,-46.6,168.3333,40.8,9.6
66,2065594,Mount Isa,75,AU,1666723256,2022-10-25 18:40:56,94,-20.7333,139.5,73.17,14.97
67,6201424,Mataura,100,NZ,1666723256,2022-10-25 18:40:56,77,-46.1927,168.8643,40.48,3.0
68,2173911,Broken Hill,99,AU,1666723257,2022-10-25 18:40:57,67,-31.95,141.4333,61.18,2.21
69,1498161,Muzhi,94,RU,1666723258,2022-10-25 18:40:58,86,65.3667,64.6667,21.81,4.63
70,1529376,Korla,0,CN,1666723259,2022-10-25 18:40:59,43,41.7597,86.1469,48.78,0.92
71,5287262,Buckeye,0,US,1666723259,2022-10-25 18:40:59,20,33.3703,-112.5838,74.66,2.62
72,2178753,Kirakira,4,SB,1666723260,2022-10-25 18:41:00,85,-10.4544,161.9205,78.24,3.94
73,1637001,Biak,99,ID,1666723260,2022-10-25 18:41:00,83,-0.9131,122.8766,77.31,1.39
74,6185377,Yellowknife,100,CA,1666723219,2022-10-25 18:40:19,86,62.456,-114.3525,23.56,10.36
75,1259385,Port Blair,85,IN,1666723262,2022-10-25 18:41:02,81,11.6667,92.75,79.97,5.48
76,1493162,Salym,85,RU,1666723263,2022-10-25 18:41:03,78,60.0625,71.4789,31.26,8.21
77,1493268,Safakulevo,100,RU,1666723265,2022-10-25 18:41:05,68,54.9901,62.5442,32.81,10.02
78,2439155,Tanout,11,NE,1666723266,2022-10-25 18:41:06,17,14.9709,8.8879,85.77,13.38
79,2618795,Klaksvík,100,FO,1666723267,2022-10-25 18:41:07,93,62.2266,-6.589,50.92,10.76
80,3354077,Opuwo,5,NA,1666723268,2022-10-25 18:41:08,36,-18.0607,13.84,76.03,7.38
81,2094342,Kavieng,99,PG,1666723136,2022-10-25 18:38:56,77,-2.5744,150.7967,81.93,5.88
82,3374083,Bathsheba,75,BB,1666723270,2022-10-25 18:41:10,83,13.2167,-59.5167,81.21,19.57
83,934322,Mahébourg,40,MU,1666723271,2022-10-25 18:41:11,73,-20.4081,57.7,73.26,12.66
84,1502073,Krasnosel'kup,100,RU,1666722919,2022-10-25 18:35:19,98,65.7,82.4667,30.11,9.95
85,601551,Akdepe,91,TM,1666723272,2022-10-25 18:41:12,56,42.0551,59.3788,51.89,11.45
86,3146487,Raudeberg,100,NO,1666723273,2022-10-25 18:41:13,43,61.9875,5.1352,50.86,10.27
87,3471451,Arraial do Cabo,40,BR,1666723145,2022-10-25 18:39:05,73,-22.9661,-42.0278,76.96,12.66
88,1852357,Shimoda,100,JP,1666723274,2022-10-25 18:41:14,79,34.6667,138.95,55.11,20.69
89,655808,Joensuu,100,FI,1666723275,2022-10-25 18:41:15,93,62.6012,29.7632,32.49,8.05
90,2172797,Cairns,0,AU,1666723132,2022-10-25 18:38:52,90,-16.9167,145.7667,79.07,2.3
91,2084442,Vanimo,100,PG,1666723200,2022-10-25 18:40:00,89,-2.6741,141.3028,77.32,3.15
92,1337605,Mahibadhoo,98,MV,1666723276,2022-10-25 18:41:16,80,3.7833,72.9667,81.5,11.34
93,2028164,Deputatsky,100,RU,1666723277,2022-10-25 18:41:17,88,69.3,139.9,14.58,11.77
94,5563839,Fortuna,20,US,1666723278,2022-10-25 18:41:18,89,40.5982,-124.1573,53.92,4.61
95,4032369,Pangai,75,TO,1666723039,2022-10-25 18:37:19,46,-19.8,-174.35,73.51,12.66
96,5282297,Bethel,100,US,1666723280,2022-10-25 18:41:20,88,41.3712,-73.414,72.64,3.44
97,1688781,City of San Pedro,100,PH,1666723282,2022-10-25 18:41:22,95,14.35,121.0167,76.23,3.44
98,3366880,Hermanus,100,ZA,1666723040,2022-10-25 18:37:20,79,-34.4187,19.2345,59.81,11.72
99,1006984,East London,100,ZA,1666723020,2022-10-25 18:37:00,70,-33.0153,27.9116,66.69,16.26
100,962367,Richards Bay,69,ZA,1666723284,2022-10-25 18:41:24,91,-28.783,32.0377,71.53,16.91
101,2136825,Isangel,100,VU,1666723068,2022-10-25 18:37:48,88,-19.55,169.2667,71.71,1.14
102,89113,Ajdabiya,0,LY,1666723285,2022-10-25 18:41:25,79,30.7554,20.2263,71.74,15.23
103,2112309,Katsuura,100,JP,1666723286,2022-10-25 18:41:26,77,35.1333,140.3,56.23,26.46
104,2206874,Waipawa,12,NZ,1666723286,2022-10-25 18:41:26,73,-41.4122,175.5153,46.72,5.48
105,2132606,Samarai,25,PG,1666723182,2022-10-25 18:39:42,71,-10.6167,150.6667,80.02,5.39
106,2313762,Libenge,85,CD,1666723287,2022-10-25 18:41:27,95,3.65,18.6333,72.82,1.61
107,5795906,Graham,75,US,1666723288,2022-10-25 18:41:28,78,47.0529,-122.2943,52.36,12.66
108,1265888,Kovūr,0,IN,1666723288,2022-10-25 18:41:28,60,14.4833,79.9833,74.91,3.96
109,211647,Lodja,100,CD,1666723289,2022-10-25 18:41:29,95,-3.4833,23.4333,71.01,0.83
110,1788462,Xinzhi,100,CN,1666723290,2022-10-25 18:41:30,54,36.4989,111.7047,58.05,2.62
111,5895424,Bay Roberts,2,CA,1666723290,2022-10-25 18:41:30,65,47.5999,-53.2648,64.65,5.01
112,5546220,Saint George,0,US,1666723291,2022-10-25 18:41:31,35,37.1041,-113.5841,58.42,4.0
113,81604,Qaryat Sulūq,0,LY,1666723292,2022-10-25 18:41:32,76,31.6682,20.2521,70.81,9.51
114,779554,Honningsvåg,100,NO,1666723206,2022-10-25 18:40:06,75,70.9821,25.9704,35.35,18.41
115,1714733,Dingle,100,PH,1666723293,2022-10-25 18:41:33,93,10.9995,122.6711,76.06,4.81
116,2336237,Jega,36,NG,1666723294,2022-10-25 18:41:34,25,12.2175,4.3792,87.15,8.7
117,5843495,Worland,0,US,1666723050,2022-10-25 18:37:30,57,44.0169,-107.9554,48.6,6.91
118,3430863,Mar del Plata,0,AR,1666723048,2022-10-25 18:37:28,82,-38.0023,-57.5575,78.82,17.0
119,3374210,São Filipe,54,CV,1666723102,2022-10-25 18:38:22,80,14.8961,-24.4956,77.81,7.38
120,3893629,Coquimbo,75,CL,1666723296,2022-10-25 18:41:36,63,-29.9533,-71.3436,60.53,11.5
121,3465487,Coromandel,50,BR,1666723297,2022-10-25 18:41:37,21,-18.4733,-47.2003,89.04,6.8
122,6065592,Maple Creek,66,CA,1666723298,2022-10-25 18:41:38,65,49.9168,-109.4848,41.05,9.22
123,3652764,Puerto Ayora,82,EC,1666723048,2022-10-25 18:37:28,91,-0.7393,-90.3518,76.96,5.99
124,2070998,Geraldton,0,AU,1666723299,2022-10-25 18:41:39,87,-28.7667,114.6,50.41,6.91
125,5866583,Saint Paul Harbor,100,US,1666722899,2022-10-25 18:34:59,75,57.79,-152.4072,42.31,4.61
126,3831208,Qaanaaq,100,GL,1666723300,2022-10-25 18:41:40,92,77.484,-69.3632,24.19,3.51
127,5848280,Kapaa,40,US,1666722870,2022-10-25 18:34:30,81,22.0752,-159.319,81.1,16.11
128,2377457,Nouadhibou,5,MR,1666723301,2022-10-25 18:41:41,78,20.931,-17.0347,73.38,14.97
129,108410,Riyadh,0,SA,1666723202,2022-10-25 18:40:02,15,24.6877,46.7219,73.54,9.55
130,935215,Saint-Philippe,39,RE,1666723302,2022-10-25 18:41:42,81,-21.3585,55.7679,71.19,13.69
131,1497210,Novoagansk,78,RU,1666723302,2022-10-25 18:41:42,83,61.9449,76.6625,29.91,16.71
132,4036284,Alofi,77,NU,1666723303,2022-10-25 18:41:43,88,-19.0595,-169.9187,66.09,1.14
133,5045360,Saint Paul,100,US,1666723061,2022-10-25 18:37:41,65,44.9444,-93.0933,47.97,13.8
